"x","y"
175591.0402,139148.9567
175616.049,139173.9655
175641.0579,139173.9655
175641.0579,139198.9744
175641.0579,139223.9832
175665.9379,139198.9744
175665.9379,139223.9832
175665.9379,139248.9921
175690.9467,139248.9921
175690.9467,139274.001
175715.9556,139299.0098
175715.9556,139473.943
175740.9644,139299.0098
175740.9644,139324.0187
175740.9644,139349.0276
175740.9644,139424.0541
175740.9644,139449.063
175740.9644,139473.943
175740.9644,139498.9518
175765.9733,139324.0187
175765.9733,139349.0276
175765.9733,139374.0364
175765.9733,139399.0453
175765.9733,139424.0541
175765.9733,139449.063
175765.9733,139473.943
175765.9733,139498.9518
175765.9733,139523.9607
175790.9822,139324.0187
175790.9822,139349.0276
175790.9822,139374.0364
175790.9822,139399.0453
175790.9822,139424.0541
175790.9822,139449.063
175790.9822,139473.943
175790.9822,139498.9518
175790.9822,139523.9607
175790.9822,139548.9695
175815.8621,139499.2096
175815.991,139349.0276
175815.991,139374.0364
175815.991,139399.0453
175815.991,139424.0541
175815.991,139449.063
175815.991,139473.943
175815.991,139523.9607
175815.991,139548.9695
175815.991,139573.9784
175815.991,139598.9873
175840.9999,139374.0364
175840.9999,139399.0453
175840.9999,139424.0541
175840.9999,139449.063
175840.9999,139473.943
175840.9999,139498.9518
175840.9999,139523.9607
175840.9999,139548.9695
175840.9999,139573.9784
175840.9999,139598.9873
175866.0088,139399.0453
175866.0088,139424.0541
175866.0088,139449.063
175866.0088,139473.943
175866.0088,139498.9518
175866.0088,139523.9607
175866.0088,139548.9695
175866.0088,139573.9784
175891.0176,139424.0541
175891.0176,139449.063
175891.0176,139473.943
175891.0176,139498.9518
175891.0176,139523.9607
175891.0176,139548.9695
175891.0176,139573.9784
175916.0265,139424.0541
175916.0265,139449.063
175916.0265,139473.943
175916.0265,139498.9518
175916.0265,139523.9607
175916.0265,139548.9695
175916.0265,139573.9784
175941.0353,139424.0541
175941.0353,139449.063
175941.0353,139473.943
175941.0353,139498.9518
175941.0353,139523.9607
175941.0353,139548.9695
175966.0442,139424.0541
175966.0442,139449.063
175966.0442,139473.943
175966.0442,139498.9518
175966.0442,139523.9607
175966.0442,139548.9695
175966.0442,139573.9784
175991.0531,139449.063
175991.0531,139473.943
175991.0531,139498.9518
175991.0531,139523.9607
175991.0531,139548.9695
176016.0619,139449.063
176016.0619,139473.943
176016.0619,139498.9518
176016.0619,139523.9607
176040.9419,139498.9518
