"x","y","A","pH_KCL","CEC","IB.samples"
175591.0402,139148.9567,16.733,7.85,11.7932,NA
175616.049,139123.9478,18.549,7.9,8.9196,NA
175616.049,139148.9567,20.637,7.91,10.8048,NA
175616.049,139173.9655,18.243,7.91,10.1472,1.83
175641.0579,139098.9389,15.639,7.59,9.1056,2.09
175641.0579,139123.9478,15.794,7.74,9.3176,2.06
175641.0579,139148.9567,16.791,7.74,10.0164,NA
175641.0579,139173.9655,18.124,7.74,10.6996,1.76
175641.0579,139198.9744,15.416,7.73,10.0664,1.75
175641.0579,139223.9832,15.924,7.74,10.1196,1.77
175665.9379,139049.0501,11.595,7.56,7.788,2.29
175665.9379,139074.059,13.501,7.52,8.4004,2.29
175665.9379,139098.9389,13.994,7.61,8.8976,NA
175665.9379,139123.9478,12.926,7.64,8.4704,NA
175665.9379,139148.9567,13.616,7.58,8.4464,NA
175665.9379,139173.9655,14.394,7.49,8.7576,NA
175665.9379,139198.9744,16.151,7.38,10.2104,1.87
175665.9379,139223.9832,17.17,7.56,10.618,NA
175665.9379,139248.9921,13.441,7.72,8.8264,NA
175690.9467,139074.059,10.459,6.96,7.6336,2.45
175690.9467,139098.9389,13.348,7.3,8.4892,2.33
175690.9467,139123.9478,14.653,7.69,9.1612,2.04
175690.9467,139148.9567,14.13,7.58,8.802,NA
175690.9467,139173.9655,9.97,7.5,6.688,NA
175690.9467,139198.9744,13.583,7.26,8.1332,2.5
175690.9467,139223.9832,17.774,7.6,10.4096,1.84
175690.9467,139248.9921,15.317,7.58,9.8768,NA
175690.9467,139274.001,14.586,7.67,9.4344,NA
175715.9556,139098.9389,14.213,7.63,8.6852,2.16
175715.9556,139123.9478,13.942,7.1,8.4268,NA
175715.9556,139148.9567,12.778,7.71,7.9612,NA
175715.9556,139173.9655,11.454,7.47,7.7316,2.44
175715.9556,139198.9744,9.353,7.2,7.1912,2.55
175715.9556,139223.9832,13.804,7.19,8.2216,2.44
175715.9556,139248.9921,16.257,7.6,9.9528,NA
175715.9556,139274.001,18.922,7.5,11.0188,NA
175715.9556,139299.0098,18.529,7.63,11.1616,1.59
175715.9556,139473.943,20.183,7.53,14.0732,1.27
175740.9644,139123.9478,15.63,7.76,9.402,1.98
175740.9644,139148.9567,15.65,7.74,9.41,NA
175740.9644,139173.9655,9.555,7.5,6.822,2.79
175740.9644,139198.9744,9.335,7.4,7.034,NA
175740.9644,139223.9832,13.962,7.43,8.2848,2.37
175740.9644,139248.9921,13.657,7.25,8.0128,NA
175740.9644,139274.001,16.32,7.62,9.828,NA
175740.9644,139299.0098,19.994,7.2,11.2976,NA
175740.9644,139324.0187,17.948,7.63,10.4792,1.64
175740.9644,139349.0276,21.691,7.57,12.8764,1.37
175740.9644,139424.0541,17.571,6.33,14.8284,1.19
175740.9644,139449.063,19.052,5.55,14.2208,NA
